name,passmark,rank,value,price
GeForce FX 5950 Ultra,59,1364,NA,
GeForce FX Go 5200,8,1536,NA,
GeForce FX Go 5600,17,1510,NA,
GeForce FX Go5300,12,1521,NA,
GeForce FX Go5650,16,1512,NA,
GeForce FX Go5700,51,1382,NA,
GeForce G 103M,105,1236,NA,
GeForce G 105M,112,1222,NA,
GeForce G100,99,1252,4.99,19.99
GeForce G102M,94,1266,NA,
GeForce G105M,179,1139,NA,
GeForce G200,134,1185,NA,
GeForce G205M,91,1280,NA,
GeForce G210,170,1146,2.69,63.13
GeForce G210M,199,1113,NA,
GeForce Go 6100,18,1508,NA,
GeForce Go 6150,17,1509,NA,
GeForce Go 6200,15,1514,NA,
GeForce Go 6400,24,1487,NA,
GeForce Go 6600,69,1336,NA,
GeForce Go 6600 TE/6200 TE,44,1406,NA,
GeForce Go 6800,106,1235,NA,
GeForce Go 6800 Ultra,137,1177,NA,
GeForce Go 7200,45,1404,NA,
GeForce Go 7300,50,1387,NA,
GeForce Go 7400,62,1356,NA,
GeForce Go 7600,128,1190,NA,
GeForce Go 7600 GT,163,1154,NA,
GeForce Go 7700,147,1164,NA,
GeForce Go 7800,116,1209,NA,
GeForce Go 7800 GTX,209,1099,NA,
GeForce Go 7900 GS,176,1141,NA,
GeForce Go 7950 GTX,263,1054,NA,
GeForce GPU,1166,425,NA,
GeForce GT 1030,2206,253,27.59,79.99
GeForce GT 120,287,1034,8.35,34.49
GeForce GT 120M,267,1049,NA,
GeForce GT 130,459,928,16.41,27.99
GeForce GT 130M,298,1026,NA,
GeForce GT 140,747,653,NA,
GeForce GT 220,349,992,4.37,79.99
GeForce GT 220M,258,1058,NA,
GeForce GT 230,471,921,10.72,43.99
GeForce GT 230M,332,1002,NA,
GeForce GT 240,650,751,17.11,37.99
GeForce GT 240M,350,989,NA,
GeForce GT 320,553,850,16.92,32.69
GeForce GT 320M,205,1107,NA,
GeForce GT 325M,293,1029,NA,
GeForce GT 330,555,846,13.90,39.99
GeForce GT 330M,362,982,NA,
GeForce GT 335M,502,899,NA,
GeForce GT 340,775,627,14.64,52.99
