name,passmark,rank,value,price
AMD Athlon 64 X2 Dual Core 4800+,1252,1995,4.89,256.32
AMD Athlon 64 X2 Dual Core 5000+,1312,1952,3.96,331.49
AMD Athlon 64 X2 Dual Core 5200+,1382,1917,26.04,53.09
AMD Athlon 64 X2 Dual Core 5400+,1447,1889,27.31,52.99
AMD Athlon 64 X2 Dual Core 5600+,1484,1875,9.90,149.95
AMD Athlon 64 X2 Dual Core 5800+,1528,1850,61.17,24.99
AMD Athlon 64 X2 Dual Core 6000+,1604,1821,49.36,32.5
AMD Athlon 64 X2 Dual Core 6400+,1790,1718,6.89,259.95
AMD Athlon 64 X2 Dual Core BE-230,1095,2081,NA,
AMD Athlon 64 X2 Dual Core BE-2300,1082,2092,NA,
AMD Athlon 64 X2 Dual Core BE-2350,1044,2110,NA,
AMD Athlon 64 X2 Dual Core TK-53,839,2235,28.02,29.97
AMD Athlon 64 X2 Dual Core TK-55,839,2236,14.53,57.74
AMD Athlon 64 X2 Dual Core TK-57,971,2158,NA,
AMD Athlon 64 X2 Dual-Core TK-42,877,2215,NA,
AMD Athlon 64 X2 Dual-Core TK-53,816,2247,NA,
AMD Athlon 64 X2 Dual-Core TK-55,874,2216,12.02,72.74
AMD Athlon 64 X2 Dual-Core TK-57,924,2193,NA,
AMD Athlon 64 X2 QL-60,918,2199,NA,
AMD Athlon 64 X2 QL-62,1011,2129,NA,
AMD Athlon 64 X2 QL-64,991,2147,NA,
AMD Athlon 64 X2 QL-65,1051,2107,NA,
AMD Athlon 64 X2 QL-66,947,2176,NA,
AMD Athlon 64 X2 QL-67,1006,2132,NA,
AMD Athlon 64 X2 TK-55,955,2171,NA,
AMD Athlon 64 X2 TK-57,988,2149,NA,
AMD Athlon 7450 Dual-Core,1448,1888,NA,
AMD Athlon 7550 Dual-Core,1460,1883,24.34,60.0
AMD Athlon 7750 Dual-Core,1570,1836,19.89,79.0
AMD Athlon 7850 Dual-Core,1713,1755,8.17,209.65
AMD Athlon 7850 Dual-Core 2.8G,288,2653,NA,
AMD Athlon Dual Core 4050e,1086,2087,NA,
AMD Athlon Dual Core 4450B,1162,2046,37.49,31.0
AMD Athlon Dual Core 4450e,1105,2074,NA,
AMD Athlon Dual Core 4850B,1391,1913,NA,
AMD Athlon Dual Core 4850e,1312,1953,33.65,39.0
AMD Athlon Dual Core 5000B,1300,1959,13.69,95.0
AMD Athlon Dual Core 5050e,1347,1937,22.45,60.0
AMD Athlon Dual Core 5200B,1319,1951,NA,
AMD Athlon Dual Core 5400B,1411,1905,NA,
AMD Athlon Dual Core 5600B,1304,1957,NA,
AMD Athlon II 160u,560,2369,18.68,29.99
AMD Athlon II 170u,625,2335,20.89,29.95
AMD Athlon II Dual-Core M300,1115,2065,NA,
AMD Athlon II Dual-Core M320,1140,2059,38.01,30.0
AMD Athlon II Dual-Core M340,1056,2105,NA,
AMD Athlon II N330 Dual-Core,1154,2050,NA,
AMD Athlon II N350 Dual-Core,1247,2000,NA,
AMD Athlon II N370 Dual-Core,1559,1839,NA,
AMD Athlon II Neo K125,472,2435,NA,
AMD Athlon II Neo K145,525,2388,NA,
AMD Athlon II Neo K325 Dual-Core,775,2263,29.84,25.99
AMD Athlon II Neo K345 Dual-Core,856,2227,NA,
AMD Athlon II Neo N36L Dual-Core,793,2258,NA,
AMD Athlon II P320 Dual-Core,1216,2013,40.62,29.95
AMD Athlon II P340 Dual-Core,1249,1997,27.81,44.95
AMD Athlon II P360 Dual-Core,1319,1950,54.98,24.0
AMD Athlon II X2 210e,1486,1874,NA,
AMD Athlon II X2 215,1574,1834,131.30,11.99
AMD Athlon II X2 220,1632,1804,50.71,32.19
AMD Athlon II X2 225,1526,1851,NA,
AMD Athlon II X2 235e,1657,1792,9.11,181.88
AMD Athlon II X2 240,1645,1796,47.08,34.95
AMD Athlon II X2 240e,1698,1765,48.60,34.95
AMD Athlon II X2 245,1657,1791,47.43,34.95
AMD Athlon II X2 245e,1706,1760,21.33,80.0
AMD Athlon II X2 250,1742,1736,44.73,38.95
AMD Athlon II X2 250e,1939,1644,25.28,76.73
AMD Athlon II X2 250u,1000,2136,28.64,34.95
AMD Athlon II X2 255,1841,1695,28.24,65.22
AMD Athlon II X2 260,1873,1678,93.71,19.99
AMD Athlon II X2 260u,1107,2072,13.28,83.44
AMD Athlon II X2 265,1890,1670,22.81,82.88
AMD Athlon II X2 270,1981,1624,82.59,23.99
AMD Athlon II X2 270u,1350,1935,19.96,67.67
AMD Athlon II X2 280,2128,1563,21.28,99.99
AMD Athlon II X2 4300e,1350,1934,NA,
AMD Athlon II X2 4400e,1616,1812,NA,
AMD Athlon II X2 4450e,1504,1866,NA,
AMD Athlon II X2 B22,1709,1759,38.95,43.89
AMD Athlon II X2 B24,1772,1722,44.36,39.95
AMD Athlon II X2 B26,1897,1666,54.28,34.95
AMD Athlon II X2 B28,2085,1582,42.52,49.05
AMD Athlon II X3 400e,2009,1614,18.70,107.43
AMD Athlon II X3 405e,2025,1606,25.32,79.99
AMD Athlon II X3 415e,2247,1518,29.97,75.0
AMD Athlon II X3 420e,2285,1498,19.68,116.15
AMD Athlon II X3 425,2316,1481,33.12,69.93
AMD Athlon II X3 425e,2239,1522,NA,
AMD Athlon II X3 435,2475,1429,35.36,69.99
AMD Athlon II X3 440,2568,1393,95.18,26.99
AMD Athlon II X3 445,2573,1391,28.28,91.0
AMD Athlon II X3 450,2622,1370,75.03,34.95
AMD Athlon II X3 455,2769,1326,34.83,79.51
AMD Athlon II X3 460,2863,1296,73.45,38.99
AMD Athlon II X4 553,3814,1018,NA,
AMD Athlon II X4 555,3830,1015,NA,
AMD Athlon II X4 559,4142,952,NA,
AMD Athlon II X4 600e,2453,1434,18.84,130.23
AMD Athlon II X4 605e,2750,1336,27.01,101.8
AMD Athlon II X4 610e,2790,1320,39.87,69.99
AMD Athlon II X4 615e,2901,1285,49.17,59.0
AMD Athlon II X4 620,2936,1268,41.95,69.99
AMD Athlon II X4 620e,2906,1280,NA,
AMD Athlon II X4 630,3134,1204,72.91,42.99
AMD Athlon II X4 631 Quad-Core,3153,1201,39.42,80.0
AMD Athlon II X4 635,3239,1169,46.32,69.95
AMD Athlon II X4 638 Quad-Core,3198,1181,120.73,26.49
AMD Athlon II X4 640,3313,1148,13.81,239.95
AMD Athlon II X4 6400e,2594,1382,NA,
AMD Athlon II X4 641 Quad-Core,3346,1139,36.57,91.5
AMD Athlon II X4 645,3474,1106,43.46,79.95
AMD Athlon II X4 650,3485,1101,20.92,166.6
AMD Athlon II X4 651 Quad-Core,3575,1080,20.08,178.04
AMD Athlon II X4 655,2998,1248,NA,
AMD Athlon L110,306,2620,NA,
AMD Athlon LE-1600,567,2367,27.04,21.0
AMD Athlon LE-1620,572,2364,31.80,18.0
AMD Athlon LE-1640,627,2334,NA,
AMD Athlon LE-1660,688,2307,NA,
AMD Athlon MP,230,2724,4.20,54.95
AMD Athlon MP 1700+,339,2585,NA,
AMD Athlon MP 2400+,436,2475,NA,
AMD Athlon MP 2800+,497,2409,NA,
AMD Athlon Neo MV-40,409,2500,NA,
AMD Athlon Neo X2 Dual Core 6850e,1002,2133,NA,
AMD Athlon Neo X2 Dual Core L325,776,2262,NA,
AMD Athlon Neo X2 Dual Core L335,828,2240,NA,
AMD Athlon PRO 200GE,5204,748,NA,
AMD Athlon QI-46,473,2434,NA,
AMD Athlon TF-20,413,2493,NA,
AMD Athlon TF-36,395,2522,NA,
AMD Athlon X2 215,1543,1845,NA,
AMD Athlon X2 235e,1806,1709,NA,
AMD Athlon X2 240,1602,1822,NA,
AMD Athlon X2 240e,1670,1783,NA,
AMD Athlon X2 250,1696,1768,NA,
AMD Athlon X2 255,1627,1806,NA,
AMD Athlon X2 280,2303,1491,68.77,33.49
AMD Athlon X2 340 Dual Core,1911,1658,38.23,49.99
AMD Athlon X2 370K Dual Core,2251,1517,NA,
AMD Athlon X2 440,1424,1898,NA,
AMD Athlon X2 Dual Core 3250e,779,2261,NA,
AMD Athlon X2 Dual Core 6850e,998,2138,NA,
AMD Athlon X2 Dual Core BE-2300,920,2196,NA,
AMD Athlon X2 Dual Core BE-2350,1104,2075,NA,
AMD Athlon X2 Dual Core BE-2400,1213,2014,NA,
AMD Athlon X2 Dual Core BE-2450,1251,1996,NA,
AMD Athlon X2 Dual Core L310,644,2325,NA,
AMD Athlon X2 Dual Core LS-5800,1009,2130,NA,
AMD Athlon X3 425,2191,1539,NA,
AMD Athlon X3 435,2574,1389,26.96,95.49
AMD Athlon X3 440,2078,1586,23.62,87.99
AMD Athlon X3 445,2314,1482,NA,
AMD Athlon X3 450,3064,1226,38.80,78.99
AMD Athlon X3 455,2401,1455,NA,
AMD Athlon X4 605e,2505,1419,NA,
